file, jumlah, tak_terdeteksi, false_positive, benar_deteksi, jumlah_terdeteksi, persentase_terdeteksi, persentase_false_positive, akurasi
00001.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00008.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00011.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00012.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00021.jpg, 1, 1, 2, 0, 2, 0.0, 100.0, None
00029.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00030.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00031.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00041.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00042.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00043.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00049.jpg, 2, 1, 1, 1, 2, 50.0, 50.0, 100.0
00063.jpg, 2, 0, 1, 2, 3, 100.0, 33.33333333333333, 100.0
00065.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00067.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00091.jpg, 2, 2, 1, 0, 1, 0.0, 100.0, None
00093.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00094.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00096.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00121.jpg, 3, 2, 0, 1, 1, 33.33333333333333, 0.0, 100.0
00123.jpg, 2, 2, 3, 0, 3, 0.0, 100.0, None
00127.jpg, 3, 3, 0, 0, 0, 0.0, None, None
00128.jpg, 3, 2, 1, 1, 2, 33.33333333333333, 50.0, 100.0
00129.jpg, 3, 3, 0, 0, 0, 0.0, None, None
00131.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00132.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00135.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00148.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00152.jpg, 1, 0, 0, 0, 1, 100.0, 0.0, 0.0
00165.jpg, 3, 3, 0, 0, 0, 0.0, None, None
00168.jpg, 3, 0, 0, 3, 3, 100.0, 0.0, 100.0
00175.jpg, 3, 3, 0, 0, 0, 0.0, None, None
00177.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00180.jpg, 3, 3, 0, 0, 0, 0.0, None, None
00185.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00186.jpg, 1, 1, 2, 0, 2, 0.0, 100.0, None
00196.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00197.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00207.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00222.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00231.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00236.jpg, 1, 1, 0, 0, 0, 0.0, None, None
